Yurt Adı	Şehir	İlçe	Tür	Kapasite
EVLADI FATİHAN ÖĞRENCİ YURDU	Kırklareli	Kırklareli/Merkez	Kız	0(288) 214-50-72
EVLİYA ÇELEBİ ÖĞRENCİ YURDU	Ordu	Altınordu	Karma	0(452) 777-50-21
EYNESİL ÖĞRENCİ YURDU	Giresun	Eynesil	Kız	0(454) 582-00-38
EZOGELİN ÖĞRENCİ YURDU	Gaziantep	Şehitkamil	Kız	0(342) 360-29-19
EĞİRDİR YURDU	Isparta	Eğirdir	Karma	0(246) 311-35-93
EŞREF BİTLİS ÖĞRENCİ YURDU	Malatya	Battalgazi	Kız	0(422) 502-09-94
EŞREFOĞLU ÖĞRENCİ YURDU	Konya	Beyşehir	Erkek	0(332) 511-00-43
FADİMANA HALİSDEMİR ÖĞRENCİ YURDU	Niğde	Niğde/Merkez	Kız	—
FAHRÜNNİSA HATUN ÖĞRENCİ YURDU	Konya	Selçuklu	Kız	0(332) 255-00-62
FATIMA SULTAN ÖĞRENCİ YURDU	Nevşehir	Nevşehir/Merkez	Kız	—
FATMA ALİYE HANIM ÖĞRENCİ YURDU	Kastamonu	Kastamonu/Merkez	Kız	0(366) 215-28-18
FATMA ANA ÖĞRENCİ YURDU	Balıkesir	Bandırma	Kız	0(266) 502-44-64
FATMA BACI ÖĞRENCİ YURDU	Kırşehir	Kırşehir/Merkez	Kız	0(386) 212-59-77
FATMA HANIM ÖĞRENCİ YURDU	Ankara	Çubuk	Kız	0(312) 837-70-82
FATMA REFET ANGIN ÖĞRENCİ YURDU	İstanbul	Küçükçekmece	Kız	0(212) 579-15-56
FATMA SEHER HANIM ÖĞRENCİ YURDU	Kocaeli	İzmit	Kız	—
FATMA YILDIZ HANIM ÖĞRENCİ YURDU	Denizli	Pamukkale	Kız	0(258) 211-19-61
FATSA ÖĞRENCİ YURDU	Ordu	Fatsa	Karma	0(452) 424-00-45
FATİH SULTAN MEHMET ÖĞRENCİ YURDU	İstanbul	Güngören	Erkek	0(212) 568-47-93
FERELİ SİNAN EFENDİ ÖĞRENCİ YURDU	Burdur	Burdur/Merkez	Erkek	0(248) 277-21-99
FETHİ SEKİN ÖĞRENCİ YURDU	Elazığ	Elazığ/Merkez	Kız	0(424) 247-84-77
FETHİYE SITKI-MEFHARET KOÇMAN ÖĞRENCİ YURDU	Muğla	Fethiye	Erkek	0(252) 646-51-31
FETHİYE ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Muğla	Fethiye	Kız	—
FEVZİ ÇAKMAK YURDU(ADANA)	Adana	Sarıçam	Kız	—
FINDIKLI YURDU	Rize	Fındıklı	Karma	0(464) 511-41-30
FLORYA-BEŞYOL ÖĞRENCİ YURDU	İstanbul	Küçükçekmece	Kız	0(212) 541-57-24
FUAT SEZGİN ÖĞRENCİ YURDU	Trabzon	Akçaabat	Kız	0(462) 666-48-48
